name,company_name,pack_size,price
Aripan,Cell Laboratories,Pack Size: 3 x 10's,Rs 171
Aceclocare,Titlis Pharma,Pack Size: 1 x 10's,Rs 107
Acuron,Brookes,Pack Size: 5 Amp x 5 ml,Rs 318
Apitent,Sois Life Sciences,Pack Size: 120 ml,Rs 162
Avaam,ICI Pakistan Limited,Pack Size: 2 x 7's,Rs 304
Alkeris-SR,Sami,Pack Size: 3 x 10's,Rs 126
A-Glip,Atco,Pack Size: 1 x 14's,Rs 356
Acukat,Genix,Pack Size: 5 ml,Rs 383
Azineu,Neutro,Pack Size: 1 x 6's,Rs 142
Am-Telsan,Hilton,Pack Size: 2 x 7's,Rs 578
Artem Plus,Hilton,Pack Size: 30 ml,Rs 245
Adrance-M,Atco,Pack Size: 2 x 7's,Rs 124
Adrance-M,Atco,Pack Size: 2 x 7's,Rs 113
Adrance-M,Atco,Pack Size: 2 x 7's,Rs 203
Adrance-M,Atco,Pack Size: 2 x 7's,Rs 144
Adrance-M,Atco,Pack Size: 2 x 7's,Rs 158
Amsart,Macter,Pack Size: 1 x 14's,Rs 441
Amsart,Macter,Pack Size: 1 x 14's,Rs 315
Amis,Rite pharma,Pack Size: 1 x 10's,Rs 304
Amis,Rite pharma,Pack Size: 1 x 10's,Rs 836
Adrance,Atco,Pack Size: 1 x 14's,Rs 540
Anplag,Pharm Evo,Pack Size: 2 x 7's,Rs 286
Admit,Shaigan,Pack Size: 1 x 14's,Rs 405
Adrance,Atco,Pack Size: 1 x 14's,Rs 360
Aminoleban Liquid,Otsuka,Pack Size: 500 ml,Rs 829
Atizor,Hirani's Pharma,Pack Size: 25 ml,Rs 284
Amsart,Macter,Pack Size: 2 x 7's,Rs 188
Alkeris,Sami,Pack Size: 3 x 10's,Rs 96
Antial,Sami,Pack Size: 2 x 10's,Rs 149
Av-Sartan,Barrett,Pack Size: 1 x 14's,Rs 342
Actrac,Serving Health Pakistan,Pack Size: 3 x 10's,"Rs 1,831"
Advit-D,Martin Dow,Pack Size: 1 x 1 ml Ampoule Oral /,Rs 162
Aromek,Galaxy,Pack Size: 10 Tablets Bottle,"Rs 3,042"
Afdol,AGP,Pack Size: 120 ml,Rs 990
Afdol,AGP,Pack Size: 1 x 14's,Rs 504
Algocin,AGP,Pack Size: 1 x 10's,Rs 198
Algocin,AGP,Pack Size: 1 x 10's,Rs 315
All-D,AGP,Pack Size: 10 ml,Rs 270
Avec,Platinum,Pack Size: 1 x 20's,Rs 130
Avec,Platinum,Pack Size: 120 ml,Rs 125
Azocam-DS,Le Mendoza,Pack Size: 1 x 6's,Rs 265
Amstan,Scilife,Pack Size: 1 x 14's,Rs 541
Amstan,Scilife,Pack Size: 1 x 14's,Rs 466
Address,Scotmann,Pack Size: 4 x 7's,Rs 191
Abriva Plus,CCL,Pack Size: 4 x 7's,"Rs 2,833"
ARBI,Pharm Evo,Pack Size: 1 x 10's,Rs 256
ARBI,Pharm Evo,Pack Size: 1 x 10's,Rs 324
ARBI,Pharm Evo,Pack Size: 1 x 10's,Rs 383
ARBI-D,Pharm Evo,Pack Size: 1 x 10's,Rs 460
ARBI-D,Pharm Evo,Pack Size: 2 x 7's,Rs 328
Acefyl 60 ml (brown),Nabi Qasim,Pack Size: 60 ml,Rs 46
Admit,Shaigan,Pack Size: 2 x 7's,Rs 203
Azitma,Sami,Pack Size: 15 ml,Rs 198
Avega,hanzala pharmaceuticals,Pack Size: 1 x 10's,Rs 886
Avega,hanzala pharmaceuticals,Pack Size: 1 x 10's,"Rs 1,386"
Actrapid HM Penfill,Novo Nordisk,Pack Size: 1 x 3 ml,Rs 352
Atorva,Pharmatec,Pack Size: 2 x 10's,Rs 268
Alphacoline,High-Q,Pack Size: 10 Amp,Rs 264
Aromasin 25 mg,Pfizer,Pack Size: 1 x 15's,"Rs 7,009"
Ansaid 100mg Tablet,Pfizer,Pack Size: 3x10's,Rs 97
Actogin,Atco,Pack Size: 2x7's,Rs 253
Arinac Forte,Abbott Laboratories,Pack Size: 10x10's,Rs 96
Aripip 10mg,Pharmatec,Pack Size: 30,Rs 144
Amoxil,GlaxoSmithKline,Pack Size: 1 x 20's,Rs 273
Adalat LA,Bayer,Pack Size: 20,Rs 329
Arinac Tab,Abbott Laboratories,Pack Size: 10x10's,Rs 49
Aripip 15mg,Pharmatec,Pack Size: 3x10's,Rs 192
Arimidex 1mg,ICI Pakistan Limited,Pack Size: 2x14's,"Rs 5,356"
Avelox,Bayer,Pack Size: 1x5's,Rs 938
Atarax,GlaxoSmithKline,Pack Size: 2 x 25's,Rs 65
Ascard Plus,Atco,Pack Size: 10,Rs 215
Alp,Hilton,Pack Size: 3x10's,Rs 85
Amoxil 250 Mg,GlaxoSmithKline,Pack Size: 5x20's,Rs 113
AM-Descol,Nabi Qasim,Pack Size: 2 x 7's,Rs 186
Alphagan,Wyeth,Pack Size: 5ml,Rs 724
Atorva,Pharmatec,Pack Size: 10s,Rs 277
Adoxa 100mg,Pharma Health,Pack Size: 30,Rs 75
Axcin,Novartis,Pack Size: 1x10's,Rs 315
Alfa-D 0.5mcg,Platinum,Pack Size: 1,Rs 270
Azomax,Novartis,Pack Size: 15ml,Rs 338
Artholex Advanced,Celven Life Sciences,Pack Size: 3 x 10's,Rs 324
Aerokast,Barrett,Pack Size: 14's,Rs 432
Advantan Fatty Ointment,Bayer,Pack Size: 10gm,Rs 239
Advantan Ointment,Bayer,Pack Size: 10gm,Rs 266
Augmentin  Infant Drops 62.5mg/ml,GlaxoSmithKline,Pack Size: 20 ml,Rs 164
Artem Plus,Hilton,Pack Size: 1x6's,Rs 513
Anafortan Plus,AGP,Pack Size: 3x10's,Rs 224
Ampress 5mg,Barrett,Pack Size: 20,Rs 90
Acicon 20mg,Barrett,Pack Size: 10,Rs 128
Acylex 200mg,Ferozsons,Pack Size: 5x5's,Rs 71
Ampiclox Syrup 250mg/ 5ml,GlaxoSmithKline,Pack Size: 90ml,Rs 205
Ampiclox 250mg,GlaxoSmithKline,Pack Size: 5x20's,Rs 146
Ampiclox 500mg,GlaxoSmithKline,Pack Size: 5x20,Rs 248
Apsin 40mg,Saffron,Pack Size: 1 x 10's,Rs 204
Acylex 400mg,Ferozsons,Pack Size: 2x10's,Rs 270
Abocal,Abbott Laboratories,Pack Size: 1x10's,Rs 257
Acyclovir,Abbott Laboratories,Pack Size: 10 ml,"Rs 1,304"
ACYLEX (Acyclovir) 200mg/5ml 60 ML SUSPENSION,Ferozsons,Pack Size: 60ml,Rs 495
Advantan Cream 10g,Bayer,Pack Size: 10gm,Rs 266
Aerokast 4mg Tab,Barrett,Pack Size: 1,Rs 228
Anafortan Plus,AGP,Pack Size: 6 Amp x 4ml,Rs 111
Atorva,Pharmatec,Pack Size: 10's,Rs 494
Augmentin,GlaxoSmithKline,Pack Size: 90ml,Rs 310
Aurora,Ferozsons,Pack Size: 1x10's,Rs 183
Aerokast Powder Sachet 4mg,Barrett,Pack Size: 1,Rs 25
AMOXIL FORTE 250mg 90 ML SYP,GlaxoSmithKline,Pack Size: 90ml,Rs 158
Amplus 500mg,Bosch,Pack Size: 1 Vial,Rs 70
Aerokast 5mg Tab,Barrett,Pack Size: 14's,Rs 272
Avsar,Pharm Evo,Pack Size: 2x7's,Rs 177
Antolol,Icon,Pack Size: 20s,Rs 135
Atenorm,Ferozsons,Pack Size: 20s,Rs 137
Atenorm,Ferozsons,Pack Size: 14s,Rs 63
Atlin,Bosch,Pack Size: 20s,Rs 54
Actim,Sami,Pack Size: 14s,Rs 216
Actim,Sami,Pack Size: 14s,Rs 148
Amaryl,Sanofi,Pack Size: 2x15's,Rs 140
Amaryl,Sanofi,Pack Size: 2x15's,Rs 277
Amaryl,Sanofi,Pack Size: 2x15's,Rs 416
Amaryl,Sanofi,Pack Size: 2x15's,Rs 554
Amaryl M S.R,Sanofi,Pack Size: 30s,Rs 189
Amaryl-M.S.R,Sanofi,Pack Size: 3 x 10's,Rs 340
Andrex,OBS,Pack Size: 3x10's,Rs 288
Atcomid,Atco,Pack Size: 14,Rs 572
Atcomid,Atco,Pack Size: 14,Rs 432
Albizole,Icon,Pack Size: 1,Rs 99
Acuron,Brookes,Pack Size: 5 Ampx3ml,Rs 132
Acetofen,Shaigan,Pack Size: 100,Rs 44
Ambrogesic,Icon,Pack Size: 10x10s,Rs 32
Agile,Wilshire,Pack Size: 2x10's,Rs 117
Agile,Wilshire,Pack Size: 10,Rs 235
Analar,AGP,Pack Size: 1x10's,Rs 133
