name,company_name,pack_size,price
Allerwood,Wood Wards,Pack Size: 60ml,Rs 96
Antial,Sami,Pack Size: 30ml,Rs 76
Artecxin,Highnoon,Pack Size: 30ml,Rs 90
Acetopril,Zafa,Pack Size: 2 x 10's,Rs 58
Aldactazide,Searle,Pack Size: 2 x 10's,Rs 40
Anamol,PDH,Pack Size: 60ml,Rs 40
Abzid,Semos,Pack Size: 1 Vial,Rs 100
Abex,Semos,Pack Size: 1 Vial,Rs 65
Aczon,Global-Vision,Pack Size: 1 Vial,Rs 95
Acenac,S.J. & G. Fazul Ellahie,Pack Size: 20gm,Rs 97
Avorek,Asian Continental,Pack Size: 2x10's,Rs 53
Arnil,Brookes,Pack Size: 2x10's,Rs 60
Acabel,Continental Pharma,Pack Size: 1 Vialx2ml,Rs 85
Artilide,Global-Vision,Pack Size: 2x10's,Rs 47
Anapaz,Hilton,Pack Size: 10ml,Rs 72
Aslow-81,Helix Pharma,Pack Size: 3x10's,Rs 11
Angised,GlaxoSmithKline,Pack Size: 6 x 10's,Rs 17
Atmos,Scotman,Pack Size: 60ml,Rs 99
Advance,Scotman,Pack Size: 60ml,Rs 94
Amak,Hudson Pharma's,Pack Size: 1's,Rs 97
Acefyl (Wet Cough),Nabi Qasim,Pack Size: 125ml,Rs 98
Avil,Sanofi,Pack Size: 90ml,Rs 90
Amplus,Bosch,Pack Size: 1 x 2 ml,Rs 88
Ardfenac,Ardin,Pack Size: 10x10's,Rs 27
Ardfenac,Ardin,Pack Size: 3x10's,Rs 59
Ardfenac,Ardin,Pack Size: 200's,Rs 230
Ardi,English Pharma,Pack Size: 3x10's,Rs 46
Arthonil,Batala Pharma,Pack Size: 200's,Rs 213
Artifen,Abbott Laboratories,Pack Size: 5 Ampx3ml,Rs 113
Axflam,Alina,Pack Size: 10 Ampx3ml,Rs 22
Axifen,Axis,Pack Size: 30's,Rs 162
Arcox,MAQ,Pack Size: 1x10's,Rs 214
Atcopram 10mg,Atco,Pack Size: 14,Rs 226
Adaxit,Polyfine,Pack Size: 30's,Rs 243
Acti-joint,Acti-Med Pharma,Pack Size: 15's,Rs 293
Acti-joint,Acti-Med Pharma,Pack Size: 30's,Rs 360
Arthicare,Searle,Pack Size: 20's,"Rs 42,352"
Arthicare,Searle,Pack Size: 60's,"Rs 1,251"
Arthroflex Max,Highnoon,Pack Size: 5 sachets,Rs 49
Aksofen,Akson,Pack Size: 25x10's,Rs 14
Ambrofen,Jawa,Pack Size: 90ml,"Rs 2,027"
Ambrofen,Jawa,Pack Size: 50x10's,Rs 6
Ambrofen,Jawa,Pack Size: 25x10's,Rs 13
Artijesic,Medisearch,Pack Size: 450ml,Rs 122
Artijesic,Medisearch,Pack Size: 25x10's,Rs 14
Arufen,Progressive,Pack Size: 200's,Rs 158
Azofin,Al Kemy,Pack Size: 10x10's,Rs 14
Azofin,Al Kemy,Pack Size: 25x10's,Rs 11
Aidra,Wilshire,Pack Size: 30's,Rs 504
Aidra,Wilshire,Pack Size: 3's,Rs 315
Ariva,Bosch,Pack Size: 30's,Rs 405
Ariva,Bosch,Pack Size: 30's,Rs 594
Aponip,Inno Pharma,Pack Size: 10's,Rs 145
Artex,Pharmadic,Pack Size: 10's,Rs 105
Articam,Stand Pharm,Pack Size: 10's,Rs 124
Al-Napro,Macquins,Pack Size: 2x10's,Rs 59
Al-Napro,Macquins,Pack Size: 2x10's,Rs 110
Alidase,Olive Health Care,Pack Size: 20's,Rs 129
Anaprox,Jinnah Pharma,Pack Size: 2x10's,Rs 64
Aprogesic,Aries,Pack Size: 2x10's,Rs 64
Aprolex,Alliance,Pack Size: 30's,Rs 113
Aprolex,Alliance,Pack Size: 20's,Rs 129
Aproxen,Schazoo Pharmaceuticals,Pack Size: 3x10's,Rs 71
Arthrox,swiss pharma,Pack Size: 3x10's,Rs 39
Arthrox,swiss pharma,Pack Size: 4x5's,Rs 33
Artic,Amarant,Pack Size: 2x10's,Rs 85
Athroxen,Don Valley,Pack Size: 30's,Rs 113
Athroxen,Don Valley,Pack Size: 20's,Rs 119
Amsolide,Amson,Pack Size: 3x10's,Rs 51
Analid,PPP,Pack Size: 2x10's,Rs 64
Aksocam,Akson,Pack Size: 2x10's,Rs 61
Anarom,Caylex,Pack Size: 500's,"Rs 1,987"
Anarom,Caylex,Pack Size: 500's,"Rs 3,312"
Arcam,Saydon,Pack Size: 3x10's,Rs 35
Albocam,Albro,Pack Size: 2x10's,Rs 100
Antixin,Bio Labs,Pack Size: 20's,Rs 158
Afloxan,PCW,Pack Size: 2x10's,Rs 92
Afloxan,PCW,Pack Size: 3x10's,Rs 188
ACT-HIB,Sanofi,Pack Size: 1 pre-filled syringe,"Rs 1,004"
Agrippal S1,Novartis,Pack Size: 1 Pre Filled Syringex0.5ml,Rs 673
Amvax-B,Chiron Biocine-Amson,Pack Size: 1 vialx5ml,Rs 162
Amvax-B,Chiron Biocine-Amson,Pack Size: 1 vialx1ml,Rs 270
Avaxim,Sanofi,Pack Size: 1 pre-filled syringe,Rs 711
Avaxim,Sanofi,Pack Size: 1 pre-filled syringe,"Rs 1,188"
Azafrine 50 mg,Al Habib,Pack Size: 100,"Rs 2,970"
Amtas,Getz Pharma,Pack Size: 2 x 7's,Rs 214
Amtas,Getz Pharma,Pack Size: 2 x 7's,Rs 158
Albumin Human 100ml,Nabi Qasim,Pack Size: 1Vialx100ml,"Rs 11,160"
Albumin Human 50ml,Nabi Qasim,Pack Size: 1Vialx50ml,"Rs 6,648"
Anvol,Aspin Pharma,Pack Size: 1 x 14's,Rs 269
Airflo,Amson,Pack Size: 2x7's,Rs 90
Airflo,Amson,Pack Size: 2x7's,Rs 101
Axal,Amson,Pack Size: 3x10's,Rs 33
Axal,Amson,Pack Size: 3x10's,Rs 60
Axal,Amson,Pack Size: 3x10's,Rs 88
Avor,PCW,Pack Size: 10x10's,Rs 12
Accutane,Aims Pharma,Pack Size: 10's,Rs 626
Acnewin,Maxitech Pharma,Pack Size: 30's,"Rs 1,508"
Arbev,Maxitech Pharma,Pack Size: 1,Rs 493
Alogel Soft Gel capsules,Maxitech Pharma,Pack Size: 20's,Rs 266
Aquazole,Martin Dow,Pack Size: 10gm,Rs 91
Ambac 0.75mg,Bosch,Pack Size: 1 vial,Rs 140
Ambac 1.5 gm,Bosch,Pack Size: 1.5gm,Rs 211
Atem,Chiesi,Pack Size: 5 Vial x 2 ml,Rs 79
Amtas,Getz Pharma,Pack Size: 2 x 7's,Rs 164
Actifed-P Cold,GlaxoSmithKline,Pack Size: 40x10's,Rs 24
Avor,PCW,Pack Size: 10x10's,Rs 18
Analphene,Lisko,Pack Size: 10 x10's,Rs 11
Analin,Medicaids,Pack Size: 10 Amp,Rs 910
Ashtec,E-Lite,Pack Size: 5 Amp,Rs 223
Ashtec,E-Lite,Pack Size: 5 Amp,Rs 288
Astadol,Asta RL,Pack Size: 2x10's,Rs 86
Atopalm Moisturizing Body Wash 300ml,Others,Pack Size: 1,"Rs 2,633"
Angiocard SR,Biogenics,Pack Size: 3x10's,Rs 108
Amparcet,Aims Pharma,Pack Size: 20x10's,Rs 6
Axamol,Axis,Pack Size: 20x10's,Rs 6
Amole Plus,Libra,Pack Size: 1x200's,Rs 198
Apecirin,Alfalah Pharma,Pack Size: 1000's,Rs 162
Apecirin,Alfalah Pharma,Pack Size: 200's,Rs 109
Ascamol,Eros,Pack Size: 1000's,Rs 270
Aspirin,Ideal,Pack Size: Jarx1000's,Rs 315
Aspirin,Nawab sons,Pack Size: 1000's,Rs 155
Arbev,Well.pk,Pack Size: 10x10,Rs 36
Acnewin,Wns Field,Pack Size: 10s,Rs 467
Aminophylline,Unexo,Pack Size: 1000's,Rs 212
Amphiline,E-Lite,Pack Size: 50 ampx10 ml,Rs 315
Asmolin,Irza,Pack Size: 1000's,Rs 225
Aeromax,Shrooq,Pack Size: 10's,Rs 180
Aeromax,Shrooq,Pack Size: 10's,Rs 117
Aireez,Pharm Evo,Pack Size: 30's,Rs 702
Aireez,Pharm Evo,Pack Size: 30's,Rs 486
Airex,Biorex,Pack Size: 14's,Rs 279
Airex,Biorex,Pack Size: 14's,Rs 216
Airvent,Shrooq,Pack Size: 14 sachet,Rs 151
Albokast,Albro,Pack Size: 2x7's,Rs 160
Albokast,Albro,Pack Size: 2x7's,Rs 108
Alerkast,Medifine,Pack Size: 14's,Rs 266
Alerkast,Medifine,Pack Size: 14's,Rs 180
Allerkast,Benson,Pack Size: 14's,Rs 279
Alukast,Alliance,Pack Size: 14's,Rs 279
Alukast,Alliance,Pack Size: 14's,Rs 216
Amacure,Jawa,Pack Size: 14's,Rs 279
Amacure,Jawa,Pack Size: 14's,Rs 216
Amisped,Sanofi,Pack Size: 14's,Rs 227
Amisped,Sanofi,Pack Size: 14's,Rs 151
Asfree,Medisure,Pack Size: 14's,Rs 189
Asfree,Medisure,Pack Size: 14's,Rs 149
Asmakast,Epla,Pack Size: 14's,Rs 227
Asmakast,Epla,Pack Size: 14's,Rs 171
Asmakast,Epla,Pack Size: 14's,Rs 126
Asmax,Epharm,Pack Size: 14's,Rs 279
Asmax,Epharm,Pack Size: 14's,Rs 216
Astel,Fynk,Pack Size: 14's,Rs 279
Awakast,Usawa,Pack Size: 2x7's,Rs 140
Awakast,Usawa,Pack Size: 2x7's,Rs 90
Aerolin,Ankaz,Pack Size: 1000's,Rs 407
Aerolin,Ankaz,Pack Size: 1000's,Rs 628
Astamol,Siza,Pack Size: 10 Amp,Rs 103
Asthamol,Epoch,Pack Size: 250's,Rs 126
Asthamol,Epoch,Pack Size: 10x10's,Rs 9
Asmanyl,Mediceena,Pack Size: 100's,Rs 105
Asthalin,Eros,Pack Size: 10 x 10's,Rs 12
Adipen,Lisko,Pack Size: 30's,Rs 99
Anifed Tab Retard,Tread Pharma,Pack Size: 50's,Rs 168
Adalat CC Tab,Bayer,Pack Size: 2x10's,Rs 731
Asthiven,Scilife,Pack Size: 2x14's,Rs 126
Alevia,Macter,Pack Size: 30's,Rs 486
Adora Tablet,Dyson R L,Pack Size: 20's,Rs 338
Alprazolam 0.5mg,Pacific Pharma,Pack Size: 3x10's,Rs 67
Agnar,Getz Pharma,Pack Size: 30's,Rs 632
Asunra,Novartis,Pack Size: 5x6's,"Rs 1,914"
Always Diamond Ultra Thin,Always,Pack Size: 1,Rs 342
Actemra,Roche,Pack Size: 0.9ml,"Rs 18,795"
Amodip,Mass-PH Health,Pack Size: 2x10's,Rs 123
Amodip,Mass-PH Health,Pack Size: 2x10's,Rs 360
Astaxan,reign,Pack Size: 30's,Rs 896
Address,Scotman,Pack Size: 1x14's,Rs 208
Address,Scotman,Pack Size: 1x14's,Rs 275
Address,Scotman,Pack Size: 1x14's,Rs 323
AfterBiotic,Scotman,Pack Size: 1x30's,"Rs 1,080"
Acnot,Zafa,Pack Size: 1x21's,Rs 315
Adriblastina,Pfizer,Pack Size: 1 Vial,"Rs 2,479"
Aireez,Pharm Evo,Pack Size: 1x14's,Rs 239
Aventriax,Sanofi,Pack Size: 1 Vial,Rs 117
Aventriax,Sanofi,Pack Size: 1 Vial,Rs 197
Amoxi-Clav,Sandoz,Pack Size: 3x2's,Rs 193
Artelac Nighttime,Bausch + Lomb,Pack Size: 10gm,"Rs 1,215"
Artelac Advanced,Bausch + Lomb,Pack Size: 3x10's Single Dose Units,"Rs 2,841"
Antine,Wise Pharma,Pack Size: 20's,Rs 117
Avastin,Roche,Pack Size: 4ml,"Rs 25,920"
Avastin,Roche,Pack Size: 16ml,"Rs 103,050"
Abriva Plus,CCL,Pack Size: 2 x 14's,"Rs 5,555"
Artem,Hilton,Pack Size: 60 ml,Rs 253
Adrance,Atco,Pack Size: 2 x 7's,Rs 126
Adrance,Atco,Pack Size: 2 x 7's,Rs 207
AZM,Ethical Laboratories,Pack Size: 3 x 10's,Rs 224
Adalat Retard,Bayer,Pack Size: 30s,Rs 51
Adalat LA,Bayer,Pack Size: 20,Rs 373
Alp,Hilton,Pack Size: 3x10's,Rs 51
Alcaine,Alcon Pharma,Pack Size: 1,Rs 230
Ativan,Wyeth,Pack Size: 10x10's,Rs 18
Azolam 0.5mg,Martin Dow Marker,Pack Size: 30,Rs 62
AD3 Supreme Vitamin D3,Sunplus,Pack Size: 1,Rs 99
Arthrotec,Pfizer,Pack Size: 2x10's,Rs 143
Amax Oral,Matrix,Pack Size: 10 ml,Rs 360
Avamys,GlaxoSmithKline,Pack Size: 1,Rs 788
Atopalm Moisturizing Body Lotion,Atopalm,Pack Size: 1,"Rs 2,685"
Avsar 80mg/5mg,Pharm Evo,Pack Size: 2x7,Rs 148
Amoxi- Clav,Novartis,Pack Size: 1x6's,Rs 148
Alzilo,Searle,Pack Size: 1x10's,Rs 303
AMOXIL Forte 250 MG/5ML,GlaxoSmithKline,Pack Size: 90ml,Rs 103
Ativan  2mg,Wyeth,Pack Size: 100,Rs 15
Analgesic,Searle,Pack Size: 20gm,Rs 126
Arcalion,Servier,Pack Size: 2x10's,Rs 140
Aksopressor,Akson,Pack Size: 3x10s,Rs 53
Atelor,Pharmadic,Pack Size: 20s,Rs 95
ATN,Flow Pharma,Pack Size: 20s,Rs 126
Atril,Star,Pack Size: 20s,Rs 135
Amarit,Reko,Pack Size: 2x10s,Rs 54
Amarit,Reko,Pack Size: 2x10s,Rs 72
Amarit Plus,Reko,Pack Size: 30s,Rs 52
Algaphan,Efroze,Pack Size: 100,Rs 107
Aknal,Akhai,Pack Size: 10 Ampx1ml,Rs 69
Aknal,Akhai,Pack Size: 10 Ampx1ml,Rs 59
Analin,Medicaids,Pack Size: 10 Ampx1ml,Rs 82
Analin,Medicaids,Pack Size: 10 Ampx1ml,Rs 69
Acugesic,AL-Hameed,Pack Size: 30,Rs 91
Adolan Sr,Siza,Pack Size: 1x10's,Rs 144
Adolan,Siza,Pack Size: 10 Amp,Rs 29
Abocain,Abbott Laboratories,Pack Size: 5 Ampx10 ml,Rs 20
Abocain,Abbott Laboratories,Pack Size: 5 Ampx2 ml,Rs 61
Anacaine,Akson,Pack Size: 25 Ampx10 ml,Rs 12
Abaglin,Polyfine,Pack Size: 10,Rs 135
Abapen,Bosch,Pack Size: 10,Rs 135
Abapen,Bosch,Pack Size: 10,Rs 180
Aropen,Hygeia,Pack Size: 10,Rs 135
Atcomid,Atco,Pack Size: 20ml,Rs 371
Atcomid,Atco,Pack Size: 14,Rs 466
Albotram,Albro,Pack Size: 30,Rs 180
Albotram,Albro,Pack Size: 3x10's,Rs 444
Abalin,EG Pharma,Pack Size: 14,Rs 315
Amtec,Shrooq,Pack Size: 30,Rs 675
Amtec,Shrooq,Pack Size: 60,Rs 810
Amtec,Shrooq,Pack Size: 60,"Rs 1,080"
Apimate,TG  Pharma,Pack Size: 6x10's,Rs 72
Apimate,TG  Pharma,Pack Size: 6x10's,Rs 135
Awapram,Usawa,Pack Size: 6x10's,Rs 113
Acneklin,Ipharm,Pack Size: 1,Rs 258
Acnemycin,Ambrosia,Pack Size: 1,Rs 288
Atramed,Mediceena,Pack Size: 5 Ampx2.5ml,Rs 81
Atramed,Mediceena,Pack Size: 5 Ampx5ml,Rs 144
Atrelax,Abbott Laboratories,Pack Size: 5 Ampx2.5ml,Rs 107
Atrelax,Abbott Laboratories,Pack Size: 5 Ampx5ml,Rs 207
Acetor,Neo Medix,Pack Size: 10x10s,Rs 16
Angesic,Mass-PH Health,Pack Size: 10x10s,Rs 17
Arcozid,PPP,Pack Size: 10,Rs 101
Arilax,E-Lite,Pack Size: 10 Ampx2 ml,Rs 30
Angiotan,Efroze,Pack Size: 14,Rs 252
Angiotan,Efroze,Pack Size: 14,Rs 176
Amlortan,Genome Pharma,Pack Size: 2x7's,Rs 385
Amlortan,Genome Pharma,Pack Size: 2x7's,Rs 359
Amlortan,Genome Pharma,Pack Size: 2x7 's,Rs 214
Amstan,Scilife,Pack Size: 28,Rs 479
Atasart,Hansel,Pack Size: 2x10s,Rs 178
Atasart,Hansel,Pack Size: 2x10s,Rs 98
AHT,Ethical Laboratories,Pack Size: 10,Rs 180
AHT DIU,Ethical Laboratories,Pack Size: 10,Rs 189
Aceartin,Epla,Pack Size: 2x10s,Rs 90
Angilock,Venus,Pack Size: 2x10s,Rs 113
Anhibit,Medicraft,Pack Size: 20,Rs 101
Anhibit Plus,Medicraft,Pack Size: 20,Rs 135
Artazide,Pharmatec,Pack Size: 2 x 10's,Rs 106
Adenuric,S.J. & G. Fazul Ellahie,Pack Size: 20,Rs 158
Adronate,Jinnah Pharma,Pack Size: 10,Rs 324
Albonate,Albro,Pack Size: 10,Rs 373
Albonate,Albro,Pack Size: 10,"Rs 1,350"
Alendrate,Global Pharma,Pack Size: 10,Rs 139
Alendrate,Global Pharma,Pack Size: 10,Rs 801
Alendrate,Global Pharma,Pack Size: 4,Rs 320
Alendroflex,Novins,Pack Size: 10,Rs 171
Alendroflex,Novins,Pack Size: 10,Rs 900
Alendroflex,Novins,Pack Size: 4,Rs 277
Alendroflex D,Novins,Pack Size: 4,Rs 331
Aminomux,Segionior,Pack Size: 30,"Rs 1,804"
Aminomux,Segionior,Pack Size: 5 Amp,Rs 961
Aminomux,Segionior,Pack Size: 1 Vial,"Rs 2,478"
Aredia,Novartis,Pack Size: 4 Vial,"Rs 1,632"
Actonel,Sanofi,Pack Size: 4,"Rs 1,710"
Actonel,Sanofi,Pack Size: 2x14s,Rs 907
Atconate,Atco,Pack Size: 4,Rs 308
Azebone,Pharmix,Pack Size: 4,Rs 444
Aclasta,Novartis,Pack Size: 1 Vial,"Rs 28,800"
Asterotide,Aster,Pack Size: 1 Ampx1 ml,Rs 333
Alkacitron,PDH,Pack Size: 20 sachet,Rs 7
Aldopa,Irza,Pack Size: 10x10's,Rs 32
Azopik,Wise Pharma,Pack Size: 1x6's,Rs 135
Azopik,Wise Pharma,Pack Size: 1x6's,Rs 248
Azores,Saydon,Pack Size: 1x6's,Rs 134
Azores,Saydon,Pack Size: 22.5ml,Rs 134
Azorox,Caylex,Pack Size: 1x6's,Rs 135
Azorox,Caylex,Pack Size: 1x3's,Rs 113
Azorox,Caylex,Pack Size: 1x5's,Rs 178
Azorox,Caylex,Pack Size: 15ml,Rs 126
Azotag,Biorex,Pack Size: 6,Rs 138
Azotine,Nimrall,Pack Size: 10,Rs 230
Azotine,Nimrall,Pack Size: 3,Rs 113
Azotine,Nimrall,Pack Size: 15ml,Rs 149
Azour,Mercy,Pack Size: 6,Rs 140
Azour,Mercy,Pack Size: 6,Rs 232
Azour,Mercy,Pack Size: 15ml,Rs 130
Azowin,Wise Pharma,Pack Size: 10,Rs 230
Azoxin,Flow Pharma,Pack Size: 6,Rs 224
Azoxin,Flow Pharma,Pack Size: 15ml,Rs 149
Azrocin,Obasons,Pack Size: 6,Rs 227
Azrocin,Obasons,Pack Size: 15ml,Rs 165
Azrowin,Wns Field,Pack Size: 10,Rs 230
Azrowin,Wns Field,Pack Size: 3,Rs 113
Azrowin,Wns Field,Pack Size: 6,Rs 214
Azrowin,Wns Field,Pack Size: 1 Vial,Rs 180
Azrowin,Wns Field,Pack Size: 15ml,Rs 149
Aztrix,Medisure,Pack Size: 6,Rs 230
Azure,Fynk,Pack Size: 15ml,Rs 149
Azure,Fynk,Pack Size: 10,Rs 225
Azure,Fynk,Pack Size: 6,Rs 248
Azza,Mediceena,Pack Size: 10,Rs 230
Alercid,Alina,Pack Size: 60ml,Rs 201
Alercid,Alina,Pack Size: 10,Rs 216
Alercid,Alina,Pack Size: 10,Rs 401
Amiclar,Ambrosia,Pack Size: 10,Rs 216
Amiclar,Ambrosia,Pack Size: 10,Rs 401
Apro,Panacea,Pack Size: 10,Rs 216
Apro,Panacea,Pack Size: 10,Rs 401
Apticlar,L A Kurative,Pack Size: 10,Rs 216
Apticlar,L A Kurative,Pack Size: 10,Rs 401
Arithro,Nova Med,Pack Size: 60ml,Rs 201
Arithro,Nova Med,Pack Size: 10,"Rs 2,160"
Arithro,Nova Med,Pack Size: 10,Rs 401
Arket,Inno Pharma,Pack Size: 10,Rs 278
Arket,Inno Pharma,Pack Size: 10,Rs 401
Awaclor,Usawa,Pack Size: 10,Rs 216
Awaclor,Usawa,Pack Size: 10,Rs 401
Anthracin,Atco,Pack Size: 1 Vialx5ml,Rs 603
Anthracin,Atco,Pack Size: 1 Vialx5ml,"Rs 2,250"
Aropotin,Gene-Tech,Pack Size: 1 Vial,Rs 976
Aropotin,Gene-Tech,Pack Size: 1 Vial,"Rs 1,800"
Acifre,Noa Hemis,Pack Size: 2x7's,Rs 54
Acifre,Noa Hemis,Pack Size: 2 x 7's,Rs 89
Aciloc,Medipak,Pack Size: 14,Rs 101
Aciloc,Medipak,Pack Size: 14,Rs 151
Actif,Webros,Pack Size: 14,Rs 53
Albomep,Albro,Pack Size: 14,Rs 107
Albomep,Albro,Pack Size: 14,Rs 205
Anvil Off,Inno Pharma,Pack Size: 2 x 7's,Rs 54
Anvil Off,Inno Pharma,Pack Size: 2 x 7's,Rs 89
Artek,Noa Hemis,Pack Size: 14,Rs 151
Artek,Noa Hemis,Pack Size: 14,Rs 265
Avinza,Mass-PH Health,Pack Size: 1x14's,Rs 291
Awa-Block,Usawa,Pack Size: 2x7's,Rs 71
Aksotran Ds,Akson,Pack Size: 10x10's,Rs 23
Albrotran,Albro,Pack Size: 20x10's,Rs 12
Amtril,Jawa,Pack Size: 1x100's,Rs 106
Amtril,Jawa,Pack Size: 1x200's,Rs 251
Amtril Ds,Jawa,Pack Size: 1x100's,Rs 250
Atroxylate,Delux,Pack Size: 50x10's,Rs 4
Act-On,Qintar Pharma,Pack Size: 5x10's,Rs 39
Al-Pridone,Macquins,Pack Size: 5x10's,Rs 26
Almedon,Alina,Pack Size: 5x10's,Rs 39
Ambrilium,Ambrosia,Pack Size: 5x10's,Rs 26
Appdom,Delux,Pack Size: 1x10's,Rs 130
Ardilium,Ardin,Pack Size: 5x10's,Rs 27
Acneclin,Medisearch,Pack Size: 30ml,Rs 135
Acnesafe,Epla,Pack Size: 10gm,Rs 126
Austaclin-T,Bloom Pharma,Pack Size: 30ml,Rs 155
Amo-Clav,English Pharma,Pack Size: 1 Vial,Rs 140
Amoxi-Clav,Novartis,Pack Size: 60 ml,Rs 98
Augmentin,GlaxoSmithKline,Pack Size: 10 Vial,Rs 162
Augmentin,GlaxoSmithKline,Pack Size: 60ml,Rs 141
Augmentin,GlaxoSmithKline,Pack Size: 60ml,Rs 98
Augmentin,GlaxoSmithKline,Pack Size: 1x6's,Rs 161
Amtran,Gaba,Pack Size: 20x10's,Rs 7
Atrotil,Akson,Pack Size: 50x10's,Rs 4
Appdom,Delux,Pack Size: 50,Rs 130
Avifix,Radium,Pack Size: 50,Rs 194
Amoxi-Clav,Novartis,Pack Size: 1 Vial,Rs 162
Amoxi-Clav,Novartis,Pack Size: 100ml,Rs 163
Amoxi-Clav,Novartis,Pack Size: 1x6's,Rs 102
Amoxilite Plus,E-Lite,Pack Size: 60ml,Rs 98
Augmiclave,Lisko,Pack Size: 60ml,Rs 98
Augmiclave,Lisko,Pack Size: 6,Rs 108
Aloret,Mass-PH Health,Pack Size: 1x10's,Rs 99
Aerius,Dermagen,Pack Size: 1x20's,Rs 152
Antine,Wise Pharma,Pack Size: 1x10's,Rs 162
Antine,Wise Pharma,Pack Size: 1x20's,Rs 162
Antine,Wise Pharma,Pack Size: 1x10's,Rs 189
Antine,Wise Pharma,Pack Size: 2x7's,Rs 108
Adine,Pfizer,Pack Size: 1x10's,Rs 104
Adine,Pfizer,Pack Size: 1x10's,Rs 135
Afex,Shaheen,Pack Size: 1x10's,Rs 104
Afex,Shaheen,Pack Size: 1x10's,Rs 135
Alerfex,Genome Pharma,Pack Size: 1x10's,Rs 104
Allerfedin,Healthtek,Pack Size: 1x10's,Rs 104
Allergia,Mass-PH Health,Pack Size: 1x10's,Rs 155
Allergia,Mass-PH Health,Pack Size: 1x10's,Rs 200
Allergofex,Leads Pharma,Pack Size: 1x10's,Rs 104
Allergofex,Leads Pharma,Pack Size: 1x10's,Rs 135
Alofast,Isis,Pack Size: 1x10's,Rs 99
Alofast,Isis,Pack Size: 1x10's,Rs 135
Alzera,Polyfine,Pack Size: 1x10's,Rs 207
Aspen,Zephyr Pharmatec,Pack Size: 1x10's,Rs 104
Aspen,Zephyr Pharmatec,Pack Size: 1x10's,Rs 135
Axodine,Grays,Pack Size: 1x10's,Rs 140
Axodine,Grays,Pack Size: 1x10's,Rs 147
Atoxan,swiss pharma,Pack Size: 3x10's,Rs 99
Afrovil,Fynk,Pack Size: 100 Ampx2ml,Rs 180
Alergifen,Neutro,Pack Size: 100 Ampx2ml,Rs 171
Amrovil,Amros,Pack Size: 100 Ampx2 ml,Rs 540
Ann-Vil,Venus,Pack Size: 100 Ampx2ml,Rs 188
Avedex,Murfy Pharma,Pack Size: 1 Vialx50ml,Rs 265
Avil,Sanofi,Pack Size: 10 x 10's,Rs 15
Avilon,Harmann,Pack Size: 100 Ampx2ml,Rs 1
Amdaquin,Zafa,Pack Size: 60x10's,Rs 14
Amoquine,Progressive,Pack Size: 20x10's,Rs 12
A-Fantrine,Atco,Pack Size: 5 Ampx1ml,Rs 70
Antimal,Macquins,Pack Size: 6 Amp,Rs 90
Armizol,Wise Pharma,Pack Size: 6 Ampx1ml,Rs 90
Arteblax,Medicaids,Pack Size: 6 Ampx1ml,Rs 122
Arteg,EG Pharma,Pack Size: 6 Amp,Rs 83
Artem,Hilton,Pack Size: 1x10's,Rs 252
Artemax,Star,Pack Size: 6 Ampx1ml,Rs 49
Artimet,L A Kurative,Pack Size: 10 Amp,Rs 54
Artimet,L A Kurative,Pack Size: 6 Amp,Rs 90
Artinex,Nexus,Pack Size: 10 Ampx1ml,Rs 43
Artinex,Nexus,Pack Size: 6 Ampx1ml,Rs 68
Artiwin,Wns Field,Pack Size: 1 Ampx1ml,Rs 107
Artiwin,Wns Field,Pack Size: 6 Ampx1ml,Rs 107
A-Mal,Stand Pharm,Pack Size: 2x8's,Rs 140
A-Mal,Stand Pharm,Pack Size: 1x8's,Rs 238
A-Mal,Stand Pharm,Pack Size: 1x6's,Rs 294
Akilum,Glitz,Pack Size: 1 x 8's,Rs 238
Alar,Searle,Pack Size: 1 x 8's,Rs 247
Alar,Searle,Pack Size: 60ml,Rs 162
Alar,Searle,Pack Size: 2x8's,Rs 113
Alar,Searle,Pack Size: 1x4's,Rs 198
Alar,Searle,Pack Size: 1x6's,Rs 308
Altamal,Hisun,Pack Size: 2x8's,Rs 144
Altamal,Hisun,Pack Size: 2x8's,Rs 144
Alumax,Axis,Pack Size: 1x16's,Rs 288
Alumax,Axis,Pack Size: 1x8's,Rs 238
Amalar,Bloom Pharma,Pack Size: 2x8's,Rs 144
Amalar,Bloom Pharma,Pack Size: 1x8's,Rs 238
Amalar,Bloom Pharma,Pack Size: 1x4's,Rs 198
Antamol,Pfizer,Pack Size: 1x16's,Rs 288
Antimal Plus,Macquins,Pack Size: 2 x 8's,Rs 144
Antimal Plus,Macquins,Pack Size: 1 x 8's,Rs 243
Armizol,Wise Pharma,Pack Size: 2x8's,Rs 144
Armizol Ds,Wise Pharma,Pack Size: 1 x 8's,Rs 238
Arteblax L,Medicaids,Pack Size: 2 x 8's,Rs 201
Arteblax L,Medicaids,Pack Size: 1 x 8's,Rs 259
Artecap,Ottoman,Pack Size: 2x8's,Rs 144
Artedan Ds,Danas,Pack Size: 2x8's,Rs 144
Artedan Ds,Danas,Pack Size: 1x8's,Rs 238
Artefrost,Hamaz,Pack Size: 60ml,Rs 153
Artefrost,Hamaz,Pack Size: 1x8's,Rs 238
Artefrost,Hamaz,Pack Size: 1x4's,Rs 297
Artemax Ds,Star,Pack Size: 2 x 4's,Rs 133
Artemax,Star,Pack Size: 60ml,Rs 153
