product_name,price,reviews,rating,image_link,product_link
"Samsung Galaxy A16 4G Dual SIM (128GB, 2025) 6.7"" 90Hz AMOLED, Splash Resistant, 8Core, 50MP Camera (Factory Unlocked International Model for GSM, Global) A165M/DS (25W Fast Charger Bundle, Grey)","PKR 39,166.28",nan,nan,https://m.media-amazon.com/images/I/51KDdahh9DL._AC_UY218_.jpg,nan
"Nothing Phone (3) Cell Phone, 5G Unlocked Phones 256GB, Android 15, Snapdragon 8s Gen4, AI Mobile Phones with Four 50MP Cameras & AMOLED Display, 5150mAh, Glyph Interface, Smartphone Black","PKR 166,387.22",nan,nan,https://m.media-amazon.com/images/I/61YbN9tT88L._AC_UY218_.jpg,nan
"Motorola Moto Edge 2022, 128GB + 6GB RAM, Mineral Gray - Unlocked (Renewed) | Unlocked",nan,nan,nan,https://m.media-amazon.com/images/I/51AQ4qN71SL._AC_UY218_.jpg,nan
"SAMSUNG Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked 6.7"" Dual Sim 50MP Dual Cam (Case Bundle) (Gray)","PKR 38,832.94",nan,nan,https://m.media-amazon.com/images/I/51b83vjjzAL._AC_UY218_.jpg,nan
Motorola Moto G Stylus 5G | 2024 | Unlocked | Made for US 8/128GB | 50MP Camera | Caramel Latte,"PKR 47,218.97",nan,nan,https://m.media-amazon.com/images/I/61LE9-6KxdL._AC_UY218_.jpg,nan
"S25Ultra 4G Smartphone Unlocked, Android 12.0 Mobile Phones 6.6'' HD+ Display, 4GB RAM 32GB ROM/256GB SD, 4G Dual SIM Dual Camera, Face ID+WiFi+BT+FM+GPS+OTG (Pink)","PKR 21,108.12",nan,nan,https://m.media-amazon.com/images/I/61SQ5G+Ma5L._AC_UY218_.jpg,nan
"Xiaomi Redmi Note 14 4G LTE (for Tmobile Mint Tello Global) (256GB + 8GB) 6.67"" 120Hz 108MP AI Camera Global Version Dual Sim (Midnight Black)","PKR 52,638.36",nan,nan,https://m.media-amazon.com/images/I/81L4MbrSEBL._AC_UY218_.jpg,nan
"Samsung Galaxy S23+ Plus 5G, US Version, 256GB, Phantom Black - Unlocked (Renewed)",nan,nan,nan,https://m.media-amazon.com/images/I/51yz4TrDNdL._AC_UY218_.jpg,nan
"Apple iPhone 13, 128GB, Midnight - Unlocked (Renewed)",nan,nan,nan,https://m.media-amazon.com/images/I/61VuVU94RnL._AC_UY218_.jpg,nan
"Google Pixel 10 - Unlocked Android Smartphone with Gemini, Your Google AI Assistant - Advanced Triple Rear Camera, Fast-Charging 24+ Hour Battery, and 6.3"" Actua Display - Obsidian - 128 GB",nan,nan,nan,https://m.media-amazon.com/images/I/61SR9daEx9L._AC_UY218_.jpg,nan
Moto G 5G | 2024 | Unlocked | Made for US 4/128GB | 50MP Camera | Sage Green,"PKR 35,063.54",nan,nan,https://m.media-amazon.com/images/I/71Sbx9zQN3L._AC_UY218_.jpg,nan
BLU G35 | 2025 | Unlocked | 6.5” HD+ Infinity Display | Dual 8MP Camera + LED Flash 5MP Selfie Camera | 32GB/3GB I US Version | US Warranty | Grey,"PKR 18,052.60",nan,nan,https://m.media-amazon.com/images/I/7124o-sbmzL._AC_UY218_.jpg,nan
"SAMSUNG Galaxy A16 5G, Android Smartphone, AMOLED Display, Fast Charging, Expandable Storage, US Version, Blue Black, only for T-Mobile Network","PKR 36,032.97",nan,nan,https://m.media-amazon.com/images/I/61rFFIv2uCL._AC_UY218_.jpg,nan
"Apple iPhone SE 2nd Generation, US Version, 64GB, Black - Unlocked (Renewed) | US Version, Renewed",nan,nan,nan,https://m.media-amazon.com/images/I/71Ta1OO00fL._AC_UY218_.jpg,nan
"SAMSUNG Galaxy A26 5G 2025 with AI | 256GB, 8GB, Dual SIM | 6.7"" 120Hz AMOLED, IP67 Water Resistant, Android 15 | International Model Factory Unlocked for T-Mobile, Global | 25W Charger Bundle (Black)","PKR 73,382.60",nan,nan,https://m.media-amazon.com/images/I/51ZKIJ+qxxL._AC_UY218_.jpg,nan
"Samsung Galaxy A15 5G, 128GB, Blue Black - Unlocked (International Version) (Renewed)",nan,nan,nan,https://m.media-amazon.com/images/I/51mRnMaCDpL._AC_UY218_.jpg,nan
"Samsung Galaxy A06 4G LTE (64GB + 4GB) Latin Version SM-A065M/DS Factory Unlocked 6.7"" Dual Sim 50MP Dual Cam (Case Bundle) - (Black)","PKR 29,719.15",nan,nan,https://m.media-amazon.com/images/I/51qF0PzOIYL._AC_UY218_.jpg,nan
"Samsung Galaxy S24 Ultra 5G, US Version, 256GB, Titanium Black - Unlocked (Renewed)",nan,nan,nan,https://m.media-amazon.com/images/I/51A-Q4eMBxL._AC_UY218_.jpg,nan
Motorola Edge 2025 | Unlocked | Made for US 8/256GB | 50MP Camera | Pantone Deep Forest,"PKR 109,998.90",nan,nan,https://m.media-amazon.com/images/I/61TE0qpbLQL._AC_UY218_.jpg,nan
"Motorola Moto G 5G 2024, 128GB + 4GB RAM, Sage Green - Unlocked (Renewed)",nan,nan,nan,https://m.media-amazon.com/images/I/51iFMfKzTvL._AC_UY218_.jpg,nan
Nokia 3210 | Dual SIM | GSM | Unlocked | International Version | Grunge Black,nan,nan,nan,https://m.media-amazon.com/images/I/61TG7vZ7pjL._AC_UY218_.jpg,nan
Google Pixel Fold - Unlocked Android 5G Smartphone with Telephoto Lens and Ultrawide Lens - Foldable Display - 24-Hour Battery - Obsidian - 256 GB,"PKR 166,662.22",nan,nan,https://m.media-amazon.com/images/I/71MDT0OqJnL._AC_UY218_.jpg,nan
"Samsung Galaxy A16 5G A Series, Unlocked Android Smartphone, Large AMOLED Display, Durable Design, Super Fast Charging, Expandable Storage, 5G Connectivity, US Version, 2025, Blue Black","PKR 49,996.72",nan,nan,https://m.media-amazon.com/images/I/71KGkQ+KOKL._AC_UY218_.jpg,nan
"SAMSUNG Galaxy S23 Ultra 5G, US Version, 512GB, Phantom Black - Unlocked (Renewed)","PKR 124,995.97",nan,nan,https://m.media-amazon.com/images/I/51ZZO2wp8EL._AC_UY218_.jpg,nan
"Samsung Galaxy A16 5G 128GB Cell Phone, Unlocked Android Smartphone, Large AMOLED Display, Durable Design, Super Fast Charging, Expandable Storage, US Version, 2025, Blue Black (Renewed)",nan,nan,nan,https://m.media-amazon.com/images/I/71KGkQ+KOKL._AC_UY218_.jpg,nan
"SAMSUNG Galaxy A36 5G 2025 | 256GB, Dual SIM | 6.7"" 120Hz AMOLED, IP67 Water Resistant, Android 15 | International Model Factory Unlocked for T-Mobile & Global | 25W Fast Charger Bundle (Black)","PKR 84,138.05",nan,nan,https://m.media-amazon.com/images/I/41CtyAEAmrL._AC_UY218_.jpg,nan
"Google Pixel 7 5G, 128GB, Obsidian - Unlocked (Renewed)",nan,nan,nan,https://m.media-amazon.com/images/I/61GaroZ9M6L._AC_UY218_.jpg,nan
"Tracfone Motorola Moto g Play 2024 [Activation Promotion] Locked to Tracfone, 64GB, Includes 1500Min/1500Txt/1500MB, 365 Days Service Plan, 6.5"" 90Hz Display, 50MP Camera, Storage 4GB RAM",nan,nan,nan,https://m.media-amazon.com/images/I/710iglrpEkL._AC_UY218_.jpg,nan
"Apple iPhone 11, 64GB, Black - Unlocked (Renewed)",nan,nan,nan,https://m.media-amazon.com/images/I/61MG3m5FhIL._AC_UY218_.jpg,nan
"8849 Tank 5 eSIM Rugged Phone 5G, 6.73’’ 3K AMOLED Smartphone Android 16 | With 220LM/2K Projector, Waterproof Heavy Duty Industrial Work Cell Phone Unlocked,Large Battery OTG for Construction Camping","PKR 261,105.72",nan,nan,https://m.media-amazon.com/images/I/71ErT7UTWXL._AC_UY218_.jpg,nan
Motorola Razr 2025 | Unlocked | Made for US 8/256GB | 50MP Camera | Pantone Parfait Pink,"PKR 152,773.47",nan,nan,https://m.media-amazon.com/images/I/61kN-e1U08L._AC_UY218_.jpg,nan
"Unifone S22 Smart Flip Phone (16GB) 2.8"" Touchscreen Rugged Cell Phone Android 11, IP68 Water Resistant, 4G LTE GSM Single Nano Slot, Compatible with T-Mobile, AT&T (Black)","PKR 42,219.02",nan,nan,https://m.media-amazon.com/images/I/61bmbjpZcfL._AC_UY218_.jpg,nan
"8849 Tank X Phone 5G, Android 16 Rugged Smartphone with 220LM Projector | 6.78’’, Durable OTG Work Celular 512GB, IP68 Waterproof, Large Battery Unlocked Mobile Cell Phones for Outdoor Camping Hiking","PKR 194,439.72",nan,nan,https://m.media-amazon.com/images/I/71kRrhA9SwL._AC_UY218_.jpg,nan
"Nothing Phone (3a) Smartphone, 6.77"" 120Hz AMOLED Display, 50MP Triple Camera System, Snapdragon 7s Gen3 Processor, 5000mAh Battery, Dual Nano-SIM, Android 15, 8+128GB Black","PKR 105,276.72",nan,nan,https://m.media-amazon.com/images/I/71XYJL6myIL._AC_UY218_.jpg,nan
"Samsung Galaxy A26 5G with AI | 256GB, 8GB, Dual SIM | 6.7"" 120Hz AMOLED, IP67 Water Resistant, Android 15 | International Model Factory Unlocked for T-Mobile, Global | 25W Charger Bundle (Mint)","PKR 73,304.82",nan,nan,https://m.media-amazon.com/images/I/51RqnFVy3lL._AC_UY218_.jpg,nan
"Motorola Moto G 2025, 128GB + 4GB RAM, Forest Gray - Unlocked (Renewed)",nan,nan,nan,https://m.media-amazon.com/images/I/8160OiLlJEL._AC_UY218_.jpg,nan
"Verizon Prepaid Samsung Galaxy A16 5G, 128GB, 50MP Triple Camera, Android Smartphone, 6.5"" FHD+ Super AMOLED 90Hz Display, Long-Lasting Battery - Locked to Verizon - Awesome Black","PKR 13,855.42",nan,nan,https://m.media-amazon.com/images/I/71EMpizHl3L._AC_UY218_.jpg,nan
"Apple iPhone 15 Plus, 128GB, Black - Locked to T-Mobile (Renewed)",nan,nan,nan,https://m.media-amazon.com/images/I/51PtFHUPjBL._AC_UY218_.jpg,nan
"Motorola Moto G Play 2024, 64GB + 4GB RAM, Sapphire Blue - Unlocked (Renewed)",nan,nan,nan,https://m.media-amazon.com/images/I/5102XFnWjQL._AC_UY218_.jpg,nan
BLU Bold N4 5G | Unlocked | 6.78” Curved Display + 1.74” Rear Display | 50MP + 16MP Selfie | 512/8GB I NFC I Android 15 | US Version | US Warranty | White,nan,nan,nan,https://m.media-amazon.com/images/I/71GqZQu4Z9L._AC_UY218_.jpg,nan
"Mini Smartphone 3.0"" HD Touchscreen - Unlocked Android Compact Mobile Phone for Kids & Students | Smallest Cell Phone for Travel Backup & Digital Detox | WiFi, GPS, Face ID, Dual SIM, 2GB+16GB, Black","PKR 10,830.45",nan,nan,https://m.media-amazon.com/images/I/61d88dYZBQL._AC_UY218_.jpg,nan
"SAMSUNG Galaxy S23 5G, US Version, 128GB, Phantom Black - Unlocked (Renewed)","PKR 61,324.39",nan,nan,https://m.media-amazon.com/images/I/51yz4TrDNdL._AC_UY218_.jpg,nan
"DJI Osmo Mobile 7 Gimbal Stabilizer for iPhone & Android, 3-Axis Gimbal | Built-in Tripod, Ultra-Light, Comfortable Grip, ActiveTrack, ShotGuides, One-Tap Edit, 10hrs Use, Phone Charging","PKR 16,385.95",nan,nan,https://m.media-amazon.com/images/I/61KyU5QgXXL._AC_UY218_.jpg,nan
"Samsung Galaxy A17 5G Ai (256GB + 8GB) Unlocked (Compatible with T-Mobile Mint Tello & Global) SM-A176B/DS Dual SIM / 6.7"" 50MP Triple (Black SM-A176BZKQGTO)","PKR 66,524.33",nan,nan,https://m.media-amazon.com/images/I/61eKFXmDLoL._AC_UY218_.jpg,nan
Motorola Moto G86 Dual-SIM 256GB ROM + 8GB RAM (GSM Only | No CDMA) Factory Unlocked 5G Smartphone (Pantone Spellbound) - International Version,"PKR 65,971.56",nan,nan,https://m.media-amazon.com/images/I/710wPo2UbkL._AC_UY218_.jpg,nan
"Motorola Moto Edge 2025 5G, 256GB + 8GB RAM, Deep Forest - Unlocked (Renewed)","PKR 76,088.13",nan,nan,https://m.media-amazon.com/images/I/61TE0qpbLQL._AC_UY218_.jpg,nan
Google Pixel 7 128GB 5G Smartphone - Unlocked for All Carriers - US Version - (Obsidian),"PKR 79,151.99",nan,nan,https://m.media-amazon.com/images/I/61sur9BN63L._AC_UY218_.jpg,nan
"Samsung Galaxy S21 5G, US Version, 128GB, Phantom Gray - Unlocked (Renewed)",nan,nan,nan,https://m.media-amazon.com/images/I/61XyNdmvr6L._AC_UY218_.jpg,nan
Samsung Galaxy A05 A065M 64GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Black,"PKR 30,416.36",nan,nan,https://m.media-amazon.com/images/I/61UjBLFlH2L._AC_UY218_.jpg,nan
"Samsung Galaxy S22+ Plus 5G, US Version, 256GB, Phantom Black - Unlocked (Renewed)","PKR 65,263.24",nan,nan,https://m.media-amazon.com/images/I/61HlcaCSo-L._AC_UY218_.jpg,nan
"8849 Tank 2 Pro Phone, Rugged Android Smartphone with 23800mAh Big Battery | 6.79’’, Built-in Projector, Android 15, 512GB Unlocked 4G Heavy Duty Cell Phone OTG for Construction Survey Outdoor Camping","PKR 113,662.75",nan,nan,https://m.media-amazon.com/images/I/71vdA1mdewL._AC_UY218_.jpg,nan
"DJI Osmo Mobile 8 Gimbal Stabilizer for Phone, 3-Axis Stabilization | AI Native Tracking with Audio & Lighting, 360° Pan Rotation, Built-in Extension Rod & Tripod, 10h Battery, Extension Rod",nan,nan,nan,https://m.media-amazon.com/images/I/612zsTP6aOL._AC_UY218_.jpg,nan
"Cell Phone Holder for Car Compatible with I Phone Mag-Safe Car Mount,Magnetic Car-Mounts,360° Adjustable Carbon Fiber","PKR 5,552.72",nan,nan,https://m.media-amazon.com/images/I/516rEfTV96L._AC_UY218_.jpg,nan
Samsung Galaxy A10e 32GB A102U GSM Unlocked Phone - Black (Renewed),nan,nan,nan,https://m.media-amazon.com/images/I/71Eh6YWqqyL._AC_UY218_.jpg,nan
"Samsung Galaxy A32 5G, 64GB, Black - Unlocked (GSM Only) (Renewed)",nan,nan,nan,https://m.media-amazon.com/images/I/61wXWc-NAmL._AC_UY218_.jpg,nan
"Samsung Galaxy A14 5G, 64GB, Black - Unlocked (Renewed)","PKR 27,708.06",nan,nan,https://m.media-amazon.com/images/I/71L1ezoIH9L._AC_UY218_.jpg,nan
"OMOTON MS06 [Sturdy Height Adjust] Magnetic Cell Phone Stand for MagSafe | Aluminum, Hands-Free, Women Men Gift, Office Desk Accessories, Anti-Slip Base for Work Calls, FaceTime, Zoom, Kitchen,Bedside","PKR 4,441.62",nan,nan,https://m.media-amazon.com/images/I/61fRETJBjIL._AC_UY218_.jpg,nan
"Magnetic Phone Ring Grip for MagSafe Dual-Sided Magnet Cell Phone Grip Stand Finger Ring Holder Compatible with iPhone 17/16/15/14/13 Pro Max Plus, for Mag Car Mounts (Silver)","PKR 4,438.84",nan,nan,https://m.media-amazon.com/images/I/71eaJIKqFfL._AC_UY218_.jpg,nan
